,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total
2326,Star Wars Starfighter: Special Edition,XB,2001.0,Simulation,LucasArts,300.0,100.0,0.0,20.0,420.0
2327,R-Types,PS,1998.0,Shooter,Virgin Interactive,40.0,20.0,0.0,0.0,60.0
2328,FIFA Soccer 06,DS,2005.0,Sports,Electronic Arts,50.0,0.0,0.0,0.0,50.0
2329,Soukaigi,PS,1998.0,Role-Playing,SquareSoft,0.0,0.0,130.0,10.0,140.0
2330,Hasbro Family Game Night 2,Wii,2009.0,Misc,Electronic Arts,710.0,530.0,0.0,130.0,1370.0
2331,A Boy and His Blob,Wii,2009.0,Platform,Majesco Entertainment,190.0,20.0,0.0,20.0,230.0
2332,Kengo: Master of Bushido,PS2,2000.0,Fighting,Ubisoft,160.0,130.0,60.0,40.0,390.0
2333,Last Escort: Club Katze,PS2,2010.0,Adventure,D3Publisher,0.0,0.0,10.0,0.0,10.0
2334,UnchainBlades EXXiV,PSP,2012.0,Role-Playing,FuRyu,0.0,0.0,20.0,0.0,20.0
2335,Blue Dragon,X360,2006.0,Role-Playing,Microsoft Game Studios,300.0,330.0,210.0,80.0,920.0
2336,Empire Earth II,PC,2005.0,Strategy,Vivendi Games,0.0,30.0,0.0,0.0,30.0
2338,Gauntlet Legends,PS,2000.0,Action,Midway Games,260.0,180.0,0.0,30.0,470.0
2339,Major League Baseball 2K6,GC,2006.0,Sports,Take-Two Interactive,130.0,30.0,0.0,0.0,160.0
2340,Yu-Gi-Oh! The Sacred Cards (JP weekly sales),GBA,2002.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,260.0,10.0,270.0
2341,Dragon Age: Inquisition,XOne,2014.0,Role-Playing,Electronic Arts,550.0,280.0,0.0,70.0,900.0
2342,Astrology DS,DS,2009.0,Misc,Deep Silver,30.0,0.0,0.0,0.0,30.0
2343,Harvest Moon 3D: A New Beginning,3DS,2012.0,Action,Marvelous Entertainment,410.0,170.0,290.0,50.0,920.0
2344,Armored Core: Last Raven,PS2,2005.0,Simulation,505 Games,50.0,40.0,80.0,10.0,180.0
2345,Killzone: Mercenary,PSV,2013.0,Shooter,Sony Computer Entertainment Europe,250.0,490.0,40.0,220.0,1000.0
2346,Sniper Elite V2,X360,2012.0,Shooter,505 Games,460.0,290.0,20.0,70.0,840.0
2347,Rockstar Games presents Table Tennis,X360,2006.0,Sports,Take-Two Interactive,280.0,390.0,0.0,90.0,760.0
2348,Skydiving Extreme,PS,2001.0,Sports,Banpresto,40.0,30.0,0.0,10.0,80.0
2349,Jade Cocoon: Story of the Tamamayu,PS,1998.0,Role-Playing,Crave Entertainment,150.0,100.0,0.0,20.0,270.0
2350,Rad Racer,NES,1986.0,Racing,Nintendo,1130.0,370.0,410.0,50.0,1960.0
2351,Saka-Tsuku DS: Touch and Direct,DS,2008.0,Sports,Sega,0.0,0.0,230.0,0.0,230.0
2352,Super Robot Taisen Compact 2 Dai-1-Bu,WS,2000.0,Strategy,Namco Bandai Games,0.0,0.0,170.0,0.0,170.0
2353,Red Faction II,GC,2003.0,Shooter,THQ,30.0,10.0,0.0,0.0,40.0
2354,Monster Jam: Path of Destruction,PS3,2010.0,Racing,Activision,210.0,20.0,0.0,20.0,250.0
2355,Tekken Tag Tournament 2,WiiU,2012.0,Fighting,Namco Bandai Games,90.0,70.0,10.0,10.0,180.0
2356,Pirates of the Burning Sea,PC,2008.0,Role-Playing,Koch Media,0.0,10.0,0.0,0.0,10.0
2357,Tekken 5,PS2,2005.0,Fighting,Namco Bandai Games,930.0,1940.0,310.0,700.0,3880.0
2358,LEGO Star Wars II: The Original Trilogy,PSP,2006.0,Action,LucasArts,580.0,510.0,0.0,320.0,1410.0
2359,Stubbs the Zombie in Rebel Without a Pulse,XB,2005.0,Action,THQ,80.0,20.0,0.0,0.0,100.0
2360,Razor Freestyle Scooter,GBA,2001.0,Sports,Ubisoft,10.0,0.0,0.0,0.0,10.0
2361,Shrek 2,GC,2004.0,Platform,Activision,730.0,260.0,10.0,30.0,1030.0
2362,Just Dance 4,PS3,2012.0,Misc,Ubisoft,260.0,120.0,0.0,60.0,440.0
2363,Disney Sing It: Pop Hits,PS3,2009.0,Misc,Disney Interactive Studios,170.0,50.0,0.0,30.0,250.0
2364,Midnight Mysteries: The Edgar Allan Poe Conspiracy,PC,2009.0,Adventure,GSP,0.0,30.0,0.0,10.0,40.0
2365,Cold Fear,PS2,2005.0,Action,Ubisoft,60.0,40.0,0.0,10.0,110.0
2366,Megamania,2600,1981.0,Shooter,Activision,1030.0,60.0,0.0,10.0,1100.0
2367,Mirror's Edge Catalyst,XOne,2016.0,Platform,Electronic Arts,80.0,50.0,0.0,20.0,150.0
2368,The Lord of the Rings: Aragorn's Quest,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,170.0,50.0,0.0,20.0,240.0
2369,Stake: Fortune Fighters,XB,2003.0,Fighting,Metro 3D,20.0,10.0,0.0,0.0,30.0
2370,Tony Hawk's Proving Ground,Wii,2007.0,Sports,Activision,220.0,10.0,0.0,20.0,250.0
2371,Rygar: The Legendary Adventure,PS2,2002.0,Action,Wanadoo,200.0,150.0,60.0,50.0,460.0
2372,Pro Cycling Manager 2016,PS4,2016.0,Sports,Focus Home Interactive,0.0,40.0,0.0,10.0,50.0
2373,DanceStar Party,PS3,2011.0,Misc,Sony Computer Entertainment,0.0,350.0,0.0,100.0,450.0
2374,Sorry! / Aggravation / Scrabble Junior,GBA,2005.0,Misc,Zoo Digital Publishing,180.0,70.0,0.0,0.0,250.0
2375,Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,1490.0,1580.0,100.0,610.0,3780.0
2376,Magicka Collection,PC,2011.0,Adventure,Unknown,0.0,20.0,0.0,0.0,20.0
2377,Mana Khemia: Alchemists of Al-Revis,PS2,2007.0,Role-Playing,Nippon Ichi Software,30.0,20.0,0.0,10.0,60.0
2378,Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,Take-Two Interactive,250.0,260.0,50.0,110.0,670.0
2379,Major League Baseball 2K5,PS2,2005.0,Sports,Take-Two Interactive,720.0,560.0,0.0,190.0,1470.0
2380,Diabolik Lovers: Vandead Carnival,PSV,2014.0,Action,Idea Factory,0.0,0.0,20.0,0.0,20.0
2381,ESPN NBA Basketball,PS2,2003.0,Sports,Sega,260.0,210.0,0.0,70.0,540.0
2382,Mobile Suit Gundam: Federation vs. Zeon,PS2,2001.0,Simulation,Atari,120.0,100.0,880.0,30.0,1130.0
2383,Nettou! Powerful Koushien,DS,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,30.0,0.0,30.0
2384,Destiny,X360,2014.0,Shooter,Activision,1300.0,490.0,0.0,160.0,1950.0
2385,Hyperdimension Neptunia Re;Birth 3,PSV,2014.0,Action,Idea Factory International,70.0,10.0,0.0,30.0,110.0
2386,Indy Racing 2000,N64,2000.0,Racing,Infogrames,80.0,20.0,0.0,0.0,100.0
2387,Kung Fu Panda 2,X360,2011.0,Action,THQ,160.0,70.0,0.0,20.0,250.0
2388,Dragon Ball Z: Supersonic Warriors 2,DS,2005.0,Fighting,Atari,140.0,20.0,320.0,20.0,500.0
2389,Call of Duty: Modern Warfare: Reflex Edition,Wii,2009.0,Shooter,Activision,950.0,430.0,0.0,140.0,1520.0
2390,Vietcong,PC,2003.0,Shooter,Gathering of Developers,0.0,20.0,0.0,0.0,20.0
2391,Guitar Hero: Smash Hits,PS3,2009.0,Misc,Activision,200.0,110.0,0.0,50.0,360.0
2392,Harvest Moon: Back to Nature,PS,1999.0,Simulation,Ubisoft,110.0,70.0,120.0,20.0,320.0
2393,Commando: Steel Disaster,DS,2008.0,Shooter,Lexicon Entertainment,20.0,0.0,0.0,0.0,20.0
2394,Romancing SaGa 3,SNES,1995.0,Role-Playing,SquareSoft,0.0,0.0,1290.0,10.0,1300.0
2395,My Baby: First Steps,DS,2009.0,Simulation,SouthPeak Games,280.0,30.0,0.0,20.0,330.0
2396,Medarot 2: Kabuto / Kuwagata Version,GB,1999.0,Role-Playing,Imagineer,0.0,0.0,540.0,0.0,540.0
2397,Muramasa: The Demon Blade,Wii,2009.0,Role-Playing,Rising Star Games,330.0,130.0,110.0,40.0,610.0
2398,Bratz Kidz,Wii,2008.0,Misc,Game Factory,160.0,0.0,0.0,10.0,170.0
2399,Zone of the Enders HD Collection,X360,2012.0,Simulation,Konami Digital Entertainment,140.0,40.0,10.0,20.0,210.0
2400,SimEarth: The Living Planet,SNES,1991.0,Simulation,Imagineer,0.0,0.0,160.0,0.0,160.0
2401,Rugby World Cup 2015,X360,2015.0,Sports,Ubisoft,0.0,40.0,0.0,0.0,40.0
2402,Cabela's Outdoor Adventures (2009),PS2,2009.0,Sports,Activision Value,70.0,50.0,0.0,20.0,140.0
2403,Infernal: Hell's Vengeance,X360,2009.0,Shooter,Playlogic Game Factory,60.0,10.0,0.0,10.0,80.0
2404,World Stadium EX,PS,1996.0,Sports,Namco Bandai Games,0.0,0.0,410.0,30.0,440.0
2405,Looney Tunes: Sheep Raider,PS,2001.0,Platform,Infogrames,70.0,50.0,0.0,10.0,130.0
2406,Jaws: Ultimate Predator,3DS,2011.0,Action,Majesco Entertainment,110.0,0.0,0.0,10.0,120.0
2407,Transworld Surf,PS2,2002.0,Sports,Atari,90.0,70.0,0.0,20.0,180.0
2409,Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS,DS,2005.0,Misc,Success,0.0,0.0,40.0,0.0,40.0
2410,Magical ZhuZhu Princess: Carriages & Castles,DS,2011.0,Simulation,Activision,140.0,40.0,0.0,20.0,200.0
2411,Katekyoo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!,DS,2010.0,Role-Playing,Marvelous Interactive,0.0,0.0,60.0,0.0,60.0
2412,Tom Clancy's Rainbow Six: Vegas,PS3,2007.0,Shooter,Ubisoft,470.0,530.0,30.0,220.0,1250.0
2413,Harvest Moon: Sunshine Islands,DS,2008.0,Simulation,Rising Star Games,350.0,30.0,170.0,30.0,580.0
2414,NHL Hitz 20-02,PS2,2001.0,Sports,Midway Games,280.0,220.0,0.0,70.0,570.0
2415,UEFA Euro 2008 Austria-Switzerland,PS3,2008.0,Sports,Electronic Arts,80.0,270.0,0.0,60.0,410.0
2416,Sub Rebellion,PS2,2002.0,Simulation,Metro 3D,40.0,30.0,0.0,10.0,80.0
2417,Face Training,DS,2007.0,Misc,Nintendo,0.0,0.0,190.0,0.0,190.0
2418,Active Life: Outdoor Challenge,Wii,2008.0,Sports,Atari,790.0,440.0,190.0,140.0,1560.0
2419,Toxic Grind,XB,2002.0,Sports,THQ,20.0,0.0,0.0,0.0,20.0
2420,NHL 15,PS4,2014.0,Sports,Electronic Arts,300.0,180.0,0.0,100.0,580.0
2421,Rapala Pro Bass Fishing 2010,Wii,2010.0,Sports,Activision,230.0,50.0,0.0,20.0,300.0
2422,Riviera: The Promised Land,GBA,2004.0,Role-Playing,Sting,70.0,30.0,0.0,0.0,100.0
2423,SpongeBob's Truth or Square,X360,2009.0,Action,THQ,30.0,40.0,0.0,0.0,70.0
2424,Blazblue: Continuum Shift Extend,PS3,2011.0,Fighting,PQube,0.0,0.0,90.0,0.0,90.0
2425,MX vs. ATV Untamed,X360,2007.0,Racing,THQ,550.0,80.0,0.0,60.0,690.0
2426,The Lord of the Rings: Aragorn's Quest,PS2,2010.0,Action,Warner Bros. Interactive Entertainment,30.0,20.0,0.0,10.0,60.0
2427,Unreal Tournament,PS2,2000.0,Shooter,Infogrames,280.0,220.0,0.0,70.0,570.0
2428,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016.0,Misc,Tecmo Koei,0.0,0.0,40.0,0.0,40.0
2429,Casper,PS,1996.0,Adventure,Interplay,460.0,310.0,0.0,50.0,820.0
2430,Pachi-Slot Aruze Oukoku 3,PS,2000.0,Misc,Aruze Corp,0.0,0.0,100.0,10.0,110.0
2431,Pro Evolution Soccer 2015,XOne,2014.0,Sports,Konami Digital Entertainment,20.0,100.0,0.0,10.0,130.0
2432,Bust-A-Move Bash!,Wii,2007.0,Puzzle,505 Games,130.0,10.0,0.0,10.0,150.0
2433,Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,2550.0,1560.0,1290.0,990.0,6390.0
2434,Sengoku Basara 4,PS3,2014.0,Action,Capcom,0.0,0.0,270.0,0.0,270.0
2435,LEGO Dimensions,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,150.0,300.0,0.0,90.0,540.0
2436,Venus & Braves: Majo to Megami to Horobi no Yogen,PSP,2011.0,Role-Playing,Namco Bandai Games,0.0,0.0,50.0,0.0,50.0
2437,MotoGP,GBA,2002.0,Racing,THQ,40.0,10.0,0.0,0.0,50.0
2438,WarioWare: Smooth Moves,Wii,2006.0,Puzzle,Nintendo,870.0,1060.0,730.0,260.0,2920.0
2439,Orega Kantoku Da! Gekitou Pennant Race,PS2,2000.0,Sports,Enix Corporation,0.0,0.0,80.0,0.0,80.0
2440,Super Momotarou Dentetsu III,SNES,1994.0,Simulation,Hudson Soft,0.0,0.0,910.0,0.0,910.0
2441,Frogger Advance: The Great Quest,GBA,2002.0,Action,Konami Digital Entertainment,50.0,20.0,0.0,0.0,70.0
2442,Freddi Fish: ABC under the sea,DS,2008.0,Misc,Atari,130.0,0.0,0.0,10.0,140.0
2443,Spice World,PS,1998.0,Action,Sony Computer Entertainment,370.0,250.0,0.0,40.0,660.0
2444,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",XB,2005.0,Action,Disney Interactive Studios,150.0,40.0,0.0,10.0,200.0
2445,Catwoman,XB,2004.0,Action,Electronic Arts,40.0,10.0,0.0,0.0,50.0
2446,Vexx,PS2,2003.0,Platform,Acclaim Entertainment,120.0,90.0,0.0,30.0,240.0
2447,Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,DS,2007.0,Fighting,Takara Tomy,0.0,0.0,80.0,0.0,80.0
2448,Lilo & Stitch 2: Hämsterviel Havoc,GBA,2004.0,Action,Disney Interactive Studios,270.0,100.0,0.0,10.0,380.0
2449,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003.0,Misc,Konami Digital Entertainment,680.0,250.0,0.0,20.0,950.0
2450,Rally Championship,GC,2003.0,Racing,SCi,10.0,0.0,0.0,0.0,10.0
2451,Future Card Buddy Fight: Yuujou no Bakunetsu Fight,3DS,2015.0,Action,FuRyu,0.0,0.0,70.0,0.0,70.0
2452,Bratz Ponyz 2,DS,2008.0,Adventure,Game Factory,240.0,0.0,0.0,20.0,260.0
2453,Forsaken,PS,1998.0,Shooter,Acclaim Entertainment,130.0,90.0,0.0,20.0,240.0
2454,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006.0,Shooter,Sony Computer Entertainment,810.0,110.0,0.0,130.0,1050.0
2455,Spirits & Spells,GC,2003.0,Platform,Wanadoo,10.0,0.0,0.0,0.0,10.0
2456,Battleship / Connect Four / Sorry! / Trouble,DS,2006.0,Puzzle,"Destination Software, Inc",50.0,0.0,0.0,0.0,50.0
2457,Battle vs. Chess,X360,2011.0,Misc,TopWare Interactive,0.0,30.0,0.0,0.0,30.0
2458,Choujikuu Yousai Macross: Do You Remember Love,PS3,2012.0,Shooter,Namco Bandai Games,0.0,0.0,50.0,0.0,50.0
2459,The Beatles: Rock Band,PS3,2009.0,Misc,MTV Games,670.0,300.0,0.0,150.0,1120.0
2460,FIFA 15,XOne,2014.0,Sports,Electronic Arts,600.0,1410.0,0.0,140.0,2150.0
2461,Fable: The Lost Chapters,PC,2005.0,Role-Playing,Microsoft Game Studios,10.0,50.0,0.0,10.0,70.0
2462,Arctic Thunder,PS2,2001.0,Racing,Midway Games,170.0,140.0,0.0,50.0,360.0
2463,Kirby's Star Stacker,GB,1997.0,Puzzle,Nintendo,0.0,0.0,220.0,0.0,220.0
2464,Super Robot Taisen R,GBA,2002.0,Strategy,Banpresto,0.0,0.0,250.0,10.0,260.0
2465,Sin and Punishment: Star Successor,Wii,2009.0,Shooter,Nintendo,200.0,140.0,60.0,40.0,440.0
2466,Disney's The Haunted Mansion,XB,2003.0,Platform,Take-Two Interactive,70.0,20.0,0.0,0.0,90.0
2467,Splat Renegade Paintball,XB,2005.0,Sports,Take-Two Interactive,40.0,10.0,0.0,0.0,50.0
2468,Super Monkey Ball Deluxe,PS2,2005.0,Misc,Sega,120.0,90.0,0.0,30.0,240.0
2469,Ratchet & Clank (2016),PS4,2016.0,Platform,Sony Computer Entertainment,320.0,640.0,40.0,180.0,1180.0
2470,Sly Cooper: Thieves in Time,PS3,2013.0,Platform,Sony Computer Entertainment Europe,350.0,130.0,0.0,80.0,560.0
2471,TRON: Evolution - Battle Grids,Wii,2010.0,Racing,Disney Interactive Studios,180.0,30.0,0.0,20.0,230.0
2472,Silent Hill 3,PS2,2003.0,Action,Konami Digital Entertainment,350.0,270.0,0.0,90.0,710.0
2473,Adventure Time: Finn & Jake Investigations,PS4,2015.0,Action,Little Orbit,30.0,40.0,0.0,10.0,80.0
2474,NHL 2K9,PS2,2008.0,Sports,Take-Two Interactive,70.0,50.0,0.0,20.0,140.0
2475,Shining Force II,GEN,1993.0,Strategy,Sega,0.0,0.0,190.0,0.0,190.0
2476,Trine 2,WiiU,2012.0,Platform,Atlus,0.0,30.0,0.0,0.0,30.0
2477,City Builder,Wii,2010.0,Misc,Virtual Play Games,40.0,0.0,0.0,0.0,40.0
2479,Namco Museum,PS2,2001.0,Misc,Namco Bandai Games,1730.0,70.0,0.0,20.0,1820.0
2480,Altered Beast: Guardian of the Realms,GBA,2002.0,Action,THQ,70.0,20.0,0.0,0.0,90.0
2481,Lucian Bee's: Justice Yellow / Evil Violet,PS2,2010.0,Adventure,5pb,0.0,0.0,70.0,0.0,70.0
2482,NBA 2K9,X360,2008.0,Sports,Take-Two Interactive,1000.0,160.0,0.0,110.0,1270.0
2483,Destiny,PS3,2014.0,Shooter,Activision,670.0,660.0,120.0,270.0,1720.0
2484,Cool Boarders 2001,PS,2000.0,Sports,Sony Computer Entertainment,230.0,160.0,0.0,30.0,420.0
2485,Zatch Bell! Electric Arena,GBA,2003.0,Fighting,Banpresto,20.0,10.0,0.0,0.0,30.0
2486,Medal of Honor: Warfighter,PS3,2012.0,Action,Electronic Arts,470.0,650.0,60.0,280.0,1460.0
2487,Are You Smarter than a 5th Grader? Game Time,DS,2009.0,Puzzle,THQ,220.0,0.0,0.0,20.0,240.0
2488,Denki Blocks!,GBA,2001.0,Puzzle,Rage Software,30.0,10.0,0.0,0.0,40.0
2489,Kamen Rider: Travelers Senki,3DS,2013.0,Action,Seventh Chord,0.0,0.0,80.0,0.0,80.0
2490,Freestyle Metal X,GC,2003.0,Racing,Midway Games,10.0,0.0,0.0,0.0,10.0
2491,Colin McRae Rally 3,XB,2002.0,Racing,Codemasters,30.0,10.0,0.0,0.0,40.0
2493,College Hoops 2K7,PS3,2007.0,Sports,Take-Two Interactive,160.0,0.0,0.0,10.0,170.0
2494,Rocket Power: Beach Bandits,PS2,2002.0,Platform,THQ,400.0,310.0,0.0,100.0,810.0
2495,Bulletstorm,X360,2011.0,Shooter,Electronic Arts,610.0,320.0,10.0,80.0,1020.0
2496,EyeToy: Groove,PS2,2003.0,Misc,Sony Computer Entertainment,90.0,70.0,0.0,20.0,180.0
2498,Ninja Gaiden II,X360,2008.0,Action,Tecmo Koei,650.0,220.0,50.0,100.0,1020.0
2499,Dora The Explorer: Dora Saves the Snow Princess,DS,2008.0,Platform,Take-Two Interactive,270.0,160.0,0.0,40.0,470.0
2500,Peppa Pig: Fun and Games,Wii,2010.0,Misc,Ubisoft,0.0,120.0,0.0,20.0,140.0
2501,Tantei Opera: Milky Holmes,PSP,2010.0,Adventure,Unknown,0.0,0.0,20.0,0.0,20.0
2502,Arcania: Gothic 4,PC,2010.0,Role-Playing,JoWood Productions,90.0,80.0,0.0,20.0,190.0
2503,007: The World is not Enough,N64,2000.0,Action,Electronic Arts,1130.0,380.0,20.0,30.0,1560.0
2504,Disney Fairies: Tinker Bell,DS,2008.0,Adventure,Disney Interactive Studios,860.0,520.0,10.0,150.0,1540.0
2505,Brunswick Pro Bowling,PS3,2010.0,Sports,505 Games,100.0,60.0,0.0,30.0,190.0
2506,Over the Hedge,PS2,2006.0,Platform,Activision,450.0,20.0,0.0,70.0,540.0
2507,Golden Axe: Beast Rider,X360,2008.0,Action,Sega,190.0,110.0,0.0,30.0,330.0
2508,Devil May Cry HD Collection,X360,2012.0,Action,Capcom,280.0,110.0,10.0,30.0,430.0
2509,Katamari Forever,PS3,2009.0,Puzzle,Namco Bandai Games,260.0,50.0,60.0,40.0,410.0
2510,Peppa Pig: The Game,DS,2008.0,Misc,Pinnacle,0.0,820.0,0.0,60.0,880.0
2511,X3: Terran Conflict,PC,2008.0,Simulation,Deep Silver,0.0,20.0,0.0,10.0,30.0
2512,Darkspore,PC,2011.0,Role-Playing,Electronic Arts,70.0,30.0,0.0,10.0,110.0
2513,Paws & Claws: Pet Vet 2,DS,2007.0,Simulation,THQ,130.0,0.0,0.0,10.0,140.0
2514,Titanfall,PC,2014.0,Shooter,Electronic Arts,210.0,300.0,0.0,70.0,580.0
2515,LEGO Star Wars: The Video Game,GBA,2005.0,Action,Eidos Interactive,820.0,300.0,0.0,20.0,1140.0
2516,Dora & Kai-Lan's Pet Shelter,DS,2011.0,Strategy,Take-Two Interactive,80.0,10.0,0.0,10.0,100.0
2517,SD Gundam G Generation Zero,PS,1999.0,Strategy,Namco Bandai Games,0.0,0.0,510.0,40.0,550.0
2518,Dr. Mario,NES,1990.0,Puzzle,Nintendo,2620.0,600.0,1520.0,100.0,4840.0
2519,Battlezone,2600,1982.0,Shooter,Atari,580.0,30.0,0.0,10.0,620.0
2520,James Bond 007: Everything or Nothing,GBA,2003.0,Shooter,Electronic Arts,120.0,40.0,0.0,0.0,160.0
2521,Katekyoo Hitman Reborn! DS Flame Rumble X - Mirai Chou-Bakuhatsu!!,DS,2009.0,Fighting,Takara Tomy,0.0,0.0,60.0,0.0,60.0
2522,G.I. Joe: The Rise of Cobra,DS,2009.0,Action,Electronic Arts,110.0,10.0,0.0,10.0,130.0
2523,Warhammer: Shadow of the Horned Rat,PS,1996.0,Strategy,Mindscape,110.0,70.0,0.0,10.0,190.0
2524,Samurai Spirits (CD),NG,1994.0,Fighting,SNK,0.0,0.0,200.0,0.0,200.0
2525,PokePark 2: Wonders Beyond,Wii,2011.0,Action,Nintendo,270.0,200.0,270.0,50.0,790.0
2526,Kingdom Hearts: Chain of Memories,GBA,2004.0,Role-Playing,Square Enix,1260.0,180.0,350.0,60.0,1850.0
2528,Oil Rush,PC,2012.0,Strategy,Iceberg Interactive,0.0,20.0,0.0,0.0,20.0
2529,Medieval II: Total War,PC,2006.0,Strategy,Sega,0.0,80.0,0.0,20.0,100.0
2530,Kumamon Bomber: Puzzle de Kumamon Taisou,GC,2005.0,Puzzle,Sega,320.0,80.0,0.0,10.0,410.0
2531,Dungeon Defenders,PC,2011.0,Role-Playing,Unknown,20.0,0.0,0.0,0.0,20.0
2532,Sky Gunner,PS2,2001.0,Action,Sony Computer Entertainment,40.0,30.0,0.0,10.0,80.0
2533,Digging for Dinosaurs,DS,2010.0,Action,Scholastic Inc.,350.0,0.0,0.0,20.0,370.0
2534,Nobunaga no Yabou: Tenshoki,SAT,1995.0,Strategy,Tecmo Koei,0.0,0.0,110.0,0.0,110.0
2535,Power Pro GB,GB,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,70.0,0.0,70.0
2536,Power Pro Kun Pocket 9,DS,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,150.0,0.0,150.0
2537,Virtua Tennis 3,X360,2007.0,Sports,Sega,30.0,20.0,0.0,0.0,50.0
2538,Shin Chan Contra ¡Los Plastas!,DS,2009.0,Platform,505 Games,0.0,0.0,70.0,0.0,70.0
2539,Puzzle Kingdoms,Wii,2009.0,Puzzle,Zoo Digital Publishing,110.0,0.0,0.0,10.0,120.0
2540,Midnight Club II,XB,2003.0,Racing,Take-Two Interactive,420.0,60.0,0.0,20.0,500.0
2541,Resident Evil Archives: Resident Evil,Wii,2008.0,Action,Capcom,170.0,40.0,80.0,20.0,310.0
2542,Dragon Warrior IV,NES,1990.0,Role-Playing,Enix Corporation,80.0,0.0,3030.0,10.0,3120.0
2543,Darius II,SAT,1995.0,Shooter,Taito,0.0,0.0,30.0,0.0,30.0
2544,Silent Scope 2: Dark Silhouette,PS2,2001.0,Shooter,Konami Digital Entertainment,90.0,70.0,0.0,20.0,180.0
2546,Super Paper Mario,Wii,2007.0,Platform,Nintendo,1980.0,880.0,590.0,320.0,3770.0
2547,MotoGP 15,PS4,2015.0,Racing,Milestone S.r.l.,0.0,120.0,30.0,20.0,170.0
2548,The SpongeBob SquarePants Movie,XB,2004.0,Platform,THQ,400.0,120.0,0.0,20.0,540.0
2549,Gormiti: The Lords of Nature!,Wii,2010.0,Adventure,Konami Digital Entertainment,40.0,0.0,0.0,0.0,40.0
2550,NHL Rock the Rink,PS,1999.0,Sports,Electronic Arts,140.0,100.0,0.0,20.0,260.0
2551,King of Fighters: Maximum Impact Regulation A,PS2,2007.0,Fighting,SNK Playmore,0.0,0.0,40.0,0.0,40.0
2553,Midnight Mysteries: The Edgar Allan Poe Conspiracy,DS,2010.0,Adventure,Foreign Media Games,80.0,40.0,0.0,10.0,130.0
2554,Game Party,Wii,2007.0,Misc,Midway Games,1500.0,780.0,0.0,240.0,2520.0
2555,Rock Band Country Track Pack 2,Wii,2011.0,Misc,MTV Games,90.0,0.0,0.0,10.0,100.0
2556,Overlord,X360,2007.0,Strategy,Codemasters,340.0,30.0,10.0,30.0,410.0
2557,Inazuma Eleven 3,3DS,2013.0,Role-Playing,Nintendo,0.0,80.0,0.0,10.0,90.0
2558,The Walking Dead: Season Two,X360,2014.0,Adventure,Telltale Games,40.0,70.0,0.0,10.0,120.0
2559,Jikkyou Powerful Pro Yakyuu 2010,PS3,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,270.0,0.0,270.0
2560,Fisherman's Bass Club,PS2,2002.0,Sports,Agetec,530.0,410.0,0.0,140.0,1080.0
2561,James Bond 007: Nightfire,GC,2002.0,Shooter,Electronic Arts,600.0,160.0,0.0,20.0,780.0
2562,Armored Core: Last Raven Portable,PSP,2010.0,Simulation,From Software,0.0,0.0,30.0,0.0,30.0
2563,NBA Live 2000,N64,1999.0,Sports,Electronic Arts,420.0,20.0,0.0,0.0,440.0
2564,Games Explosion!,GBA,2006.0,Action,THQ,10.0,0.0,0.0,0.0,10.0
2565,Titanfall,X360,2014.0,Shooter,Electronic Arts,870.0,380.0,20.0,110.0,1380.0
2566,The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,2009.0,Adventure,Namco Bandai Games,0.0,0.0,230.0,0.0,230.0
2567,Petz Dogz 2,PS2,2007.0,Simulation,Ubisoft,280.0,210.0,0.0,70.0,560.0
2568,X-Men: Reign of Apocalypse,GBA,2001.0,Action,Activision,200.0,80.0,0.0,10.0,290.0
2569,Marble Madness / Klax,GBA,2005.0,Puzzle,Zoo Digital Publishing,20.0,10.0,0.0,0.0,30.0
2570,Jikkyou Powerful Pro Yakyuu Basic-han 2001,N64,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,120.0,40.0,160.0
2571,Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005.0,Strategy,Banpresto,0.0,0.0,590.0,0.0,590.0
2572,Serious Sam HD: Gold Edition,X360,2011.0,Shooter,Mastertronic,0.0,20.0,0.0,0.0,20.0
